board,date,hotel,price,rate,room
Desayuno,2023-03-25,Hotel 3,80,No Reembolsable,Individual
Solo Alojamiento,2023-03-25,Hotel 3,135,Reembolsable,Suite
Pension Completa,2023-03-25,Hotel 3,110,Reembolsable,Doble
Todo Incluido,2023-03-26,Hotel 3,175,No Reembolsable,Individual
Pension Completa,2023-03-26,Hotel 3,80,Reembolsable,Individual
Todo Incluido,2023-03-26,Hotel 3,108,No Reembolsable,Triple
Todo Incluido,2023-03-26,Hotel 3,85,No Reembolsable,Individual
Pension Completa,2023-03-26,Hotel 3,127,Reembolsable,Individual
Todo Incluido,2023-03-26,Hotel 3,142,Reembolsable,Triple
Todo Incluido,2023-03-26,Hotel 3,83,Reembolsable,Junior Suite
Media Pension,2023-03-26,Hotel 3,85,Reembolsable,Individual
Desayuno,2023-03-26,Hotel 3,88,No Reembolsable,Junior Suite
Media Pension,2023-03-27,Hotel 3,113,No Reembolsable,Doble
Todo Incluido,2023-03-27,Hotel 3,113,Reembolsable,Suite
Pension Completa,2023-03-27,Hotel 3,142,No Reembolsable,Triple
Todo Incluido,2023-03-27,Hotel 3,155,No Reembolsable,Doble
Desayuno,2023-03-27,Hotel 3,182,No Reembolsable,Individual
Media Pension,2023-03-27,Hotel 3,181,No Reembolsable,Doble
Pension Completa,2023-03-27,Hotel 3,130,No Reembolsable,Triple
Desayuno,2023-03-27,Hotel 3,145,No Reembolsable,Triple
Desayuno,2023-03-27,Hotel 3,96,Reembolsable,Individual
Media Pension,2023-03-28,Hotel 3,171,No Reembolsable,Doble
Pension Completa,2023-03-28,Hotel 3,152,Reembolsable,Triple
Pension Completa,2023-03-28,Hotel 3,79,Reembolsable,Individual
Desayuno,2023-03-28,Hotel 3,92,No Reembolsable,Junior Suite
Solo Alojamiento,2023-03-28,Hotel 3,134,Reembolsable,Triple
Media Pension,2023-03-28,Hotel 3,168,No Reembolsable,Junior Suite
Todo Incluido,2023-03-28,Hotel 3,180,No Reembolsable,Junior Suite
Todo Incluido,2023-03-28,Hotel 3,145,No Reembolsable,Doble
Pension Completa,2023-03-28,Hotel 3,106,No Reembolsable,Junior Suite
Solo Alojamiento,2023-03-29,Hotel 3,181,No Reembolsable,Suite
Media Pension,2023-03-29,Hotel 3,189,No Reembolsable,Suite
Todo Incluido,2023-03-29,Hotel 3,96,Reembolsable,Junior Suite
Todo Incluido,2023-03-29,Hotel 3,104,No Reembolsable,Doble
Desayuno,2023-03-29,Hotel 3,75,No Reembolsable,Triple
Todo Incluido,2023-03-29,Hotel 3,165,Reembolsable,Junior Suite
Todo Incluido,2023-03-29,Hotel 3,130,No Reembolsable,Suite
Todo Incluido,2023-03-29,Hotel 3,70,Reembolsable,Suite
Solo Alojamiento,2023-03-29,Hotel 3,186,Reembolsable,Triple
Desayuno,2023-03-30,Hotel 3,85,Reembolsable,Triple
Media Pension,2023-03-30,Hotel 3,172,No Reembolsable,Individual
Todo Incluido,2023-03-30,Hotel 3,138,No Reembolsable,Doble
Pension Completa,2023-03-30,Hotel 3,139,No Reembolsable,Individual
Pension Completa,2023-03-30,Hotel 3,174,Reembolsable,Junior Suite
Solo Alojamiento,2023-03-30,Hotel 3,76,Reembolsable,Triple
Solo Alojamiento,2023-03-30,Hotel 3,189,No Reembolsable,Triple
Pension Completa,2023-03-30,Hotel 3,81,No Reembolsable,Triple
Pension Completa,2023-03-30,Hotel 3,181,No Reembolsable,Triple
Pension Completa,2023-03-31,Hotel 3,178,No Reembolsable,Suite
Pension Completa,2023-03-31,Hotel 3,126,Reembolsable,Junior Suite
Pension Completa,2023-03-31,Hotel 3,84,Reembolsable,Individual
Desayuno,2023-03-31,Hotel 3,109,No Reembolsable,Individual
Media Pension,2023-03-31,Hotel 3,71,No Reembolsable,Individual
Desayuno,2023-03-31,Hotel 3,195,Reembolsable,Junior Suite
Todo Incluido,2023-03-31,Hotel 3,85,Reembolsable,Doble
Solo Alojamiento,2023-03-31,Hotel 3,113,Reembolsable,Junior Suite
Pension Completa,2023-03-31,Hotel 3,97,No Reembolsable,Doble
Pension Completa,2023-04-01,Hotel 3,156,Reembolsable,Individual
Solo Alojamiento,2023-04-01,Hotel 3,101,Reembolsable,Doble
Todo Incluido,2023-04-01,Hotel 3,197,Reembolsable,Triple
Todo Incluido,2023-04-01,Hotel 3,112,Reembolsable,Individual
Pension Completa,2023-04-01,Hotel 3,185,No Reembolsable,Suite
Media Pension,2023-04-01,Hotel 3,123,Reembolsable,Triple
Pension Completa,2023-04-01,Hotel 3,110,Reembolsable,Junior Suite
Media Pension,2023-04-01,Hotel 3,134,No Reembolsable,Suite
Solo Alojamiento,2023-04-01,Hotel 3,156,No Reembolsable,Doble
Todo Incluido,2023-04-02,Hotel 3,116,Reembolsable,Suite
Pension Completa,2023-04-02,Hotel 3,90,No Reembolsable,Triple
Desayuno,2023-04-02,Hotel 3,119,Reembolsable,Doble
Pension Completa,2023-04-02,Hotel 3,130,No Reembolsable,Doble
Todo Incluido,2023-04-02,Hotel 3,86,No Reembolsable,Triple
Desayuno,2023-04-02,Hotel 3,149,No Reembolsable,Suite
Pension Completa,2023-04-02,Hotel 3,178,No Reembolsable,Doble
Desayuno,2023-04-02,Hotel 3,180,No Reembolsable,Individual
Todo Incluido,2023-04-02,Hotel 3,101,No Reembolsable,Doble
Solo Alojamiento,2023-04-03,Hotel 3,191,Reembolsable,Individual
Pension Completa,2023-04-03,Hotel 3,164,No Reembolsable,Individual
Todo Incluido,2023-04-03,Hotel 3,155,Reembolsable,Triple
Media Pension,2023-04-03,Hotel 3,85,No Reembolsable,Triple
Todo Incluido,2023-04-03,Hotel 3,170,Reembolsable,Doble
Solo Alojamiento,2023-04-03,Hotel 3,135,Reembolsable,Junior Suite
Solo Alojamiento,2023-04-03,Hotel 3,125,No Reembolsable,Triple
Pension Completa,2023-04-03,Hotel 3,130,No Reembolsable,Individual
Desayuno,2023-04-03,Hotel 3,120,No Reembolsable,Triple
Media Pension,2023-04-04,Hotel 3,175,No Reembolsable,Triple
Desayuno,2023-04-04,Hotel 3,91,Reembolsable,Junior Suite
Todo Incluido,2023-04-04,Hotel 3,194,Reembolsable,Triple
Pension Completa,2023-04-04,Hotel 3,80,No Reembolsable,Triple
Pension Completa,2023-04-04,Hotel 3,131,No Reembolsable,Doble
Pension Completa,2023-04-04,Hotel 3,200,Reembolsable,Junior Suite
Todo Incluido,2023-04-04,Hotel 3,179,Reembolsable,Individual
Pension Completa,2023-04-04,Hotel 3,150,Reembolsable,Suite
Media Pension,2023-04-04,Hotel 3,110,Reembolsable,Suite
Solo Alojamiento,2023-04-05,Hotel 3,96,Reembolsable,Individual
Desayuno,2023-04-05,Hotel 3,173,Reembolsable,Junior Suite
Media Pension,2023-04-05,Hotel 3,107,No Reembolsable,Junior Suite
Pension Completa,2023-04-05,Hotel 3,86,No Reembolsable,Junior Suite
Pension Completa,2023-04-05,Hotel 3,115,No Reembolsable,Suite
Todo Incluido,2023-04-05,Hotel 3,109,Reembolsable,Suite
Solo Alojamiento,2023-04-05,Hotel 3,128,No Reembolsable,Individual
Todo Incluido,2023-04-05,Hotel 3,180,Reembolsable,Junior Suite
Desayuno,2023-04-05,Hotel 3,176,Reembolsable,Junior Suite
Todo Incluido,2023-04-06,Hotel 3,91,Reembolsable,Individual
Pension Completa,2023-04-06,Hotel 3,140,Reembolsable,Individual
Solo Alojamiento,2023-04-06,Hotel 3,94,Reembolsable,Junior Suite
Desayuno,2023-04-06,Hotel 3,74,Reembolsable,Triple
Pension Completa,2023-04-06,Hotel 3,111,Reembolsable,Individual
Desayuno,2023-04-06,Hotel 3,131,Reembolsable,Triple
Pension Completa,2023-04-06,Hotel 3,100,No Reembolsable,Doble
Solo Alojamiento,2023-04-06,Hotel 3,138,No Reembolsable,Suite
Solo Alojamiento,2023-04-06,Hotel 3,88,No Reembolsable,Individual
Pension Completa,2023-04-07,Hotel 3,92,Reembolsable,Doble
Solo Alojamiento,2023-04-07,Hotel 3,114,No Reembolsable,Junior Suite
Solo Alojamiento,2023-04-07,Hotel 3,189,Reembolsable,Triple
Pension Completa,2023-04-07,Hotel 3,148,No Reembolsable,Triple
Desayuno,2023-04-07,Hotel 3,143,Reembolsable,Suite
Desayuno,2023-04-07,Hotel 3,89,Reembolsable,Triple
Media Pension,2023-04-07,Hotel 3,149,No Reembolsable,Individual
Todo Incluido,2023-04-07,Hotel 3,81,Reembolsable,Junior Suite
Desayuno,2023-04-07,Hotel 3,173,No Reembolsable,Triple
Todo Incluido,2023-04-08,Hotel 3,104,No Reembolsable,Suite
Todo Incluido,2023-04-08,Hotel 3,70,No Reembolsable,Triple
Solo Alojamiento,2023-04-08,Hotel 3,114,No Reembolsable,Individual
Todo Incluido,2023-04-08,Hotel 3,164,No Reembolsable,Doble
Media Pension,2023-04-08,Hotel 3,115,Reembolsable,Junior Suite
Todo Incluido,2023-04-08,Hotel 3,82,No Reembolsable,Junior Suite
Solo Alojamiento,2023-04-08,Hotel 3,166,No Reembolsable,Triple
Desayuno,2023-04-08,Hotel 3,154,No Reembolsable,Suite
Solo Alojamiento,2023-04-08,Hotel 3,103,Reembolsable,Triple
Pension Completa,2023-04-09,Hotel 3,94,No Reembolsable,Individual
Desayuno,2023-04-09,Hotel 3,171,Reembolsable,Doble
Solo Alojamiento,2023-04-09,Hotel 3,198,Reembolsable,Individual
Media Pension,2023-04-09,Hotel 3,147,Reembolsable,Triple
Solo Alojamiento,2023-04-09,Hotel 3,113,Reembolsable,Junior Suite
Desayuno,2023-04-09,Hotel 3,198,Reembolsable,Junior Suite
Solo Alojamiento,2023-04-09,Hotel 3,90,No Reembolsable,Junior Suite
Media Pension,2023-04-09,Hotel 3,105,Reembolsable,Doble
Desayuno,2023-04-09,Hotel 3,125,Reembolsable,Doble
Solo Alojamiento,2023-04-10,Hotel 3,182,No Reembolsable,Junior Suite
Todo Incluido,2023-04-10,Hotel 3,85,No Reembolsable,Junior Suite
Pension Completa,2023-04-10,Hotel 3,150,No Reembolsable,Junior Suite
Desayuno,2023-04-10,Hotel 3,95,Reembolsable,Suite
Todo Incluido,2023-04-10,Hotel 3,197,Reembolsable,Triple
Solo Alojamiento,2023-04-10,Hotel 3,105,No Reembolsable,Triple
Todo Incluido,2023-04-10,Hotel 3,172,No Reembolsable,Triple
Media Pension,2023-04-10,Hotel 3,100,No Reembolsable,Doble
Media Pension,2023-04-10,Hotel 3,95,Reembolsable,Individual
Media Pension,2023-04-11,Hotel 3,118,Reembolsable,Triple
Todo Incluido,2023-04-11,Hotel 3,198,No Reembolsable,Individual
Todo Incluido,2023-04-11,Hotel 3,130,No Reembolsable,Individual
Pension Completa,2023-04-11,Hotel 3,114,No Reembolsable,Doble
Pension Completa,2023-04-11,Hotel 3,194,No Reembolsable,Individual
Media Pension,2023-04-11,Hotel 3,100,Reembolsable,Junior Suite
Solo Alojamiento,2023-04-11,Hotel 3,159,Reembolsable,Suite
Media Pension,2023-04-11,Hotel 3,72,Reembolsable,Triple
Pension Completa,2023-04-11,Hotel 3,148,Reembolsable,Individual
Todo Incluido,2023-04-12,Hotel 3,122,Reembolsable,Suite
Solo Alojamiento,2023-04-12,Hotel 3,149,No Reembolsable,Suite
Media Pension,2023-04-12,Hotel 3,146,No Reembolsable,Suite
Desayuno,2023-04-12,Hotel 3,104,Reembolsable,Doble
Media Pension,2023-04-12,Hotel 3,163,No Reembolsable,Doble
Pension Completa,2023-04-12,Hotel 3,173,No Reembolsable,Junior Suite
Desayuno,2023-04-12,Hotel 3,172,No Reembolsable,Individual
Desayuno,2023-04-12,Hotel 3,99,Reembolsable,Doble
Media Pension,2023-04-12,Hotel 3,71,No Reembolsable,Junior Suite
Media Pension,2023-04-13,Hotel 3,125,Reembolsable,Junior Suite
Pension Completa,2023-04-13,Hotel 3,137,Reembolsable,Suite
Desayuno,2023-04-13,Hotel 3,100,No Reembolsable,Doble
Desayuno,2023-04-13,Hotel 3,188,No Reembolsable,Triple
Desayuno,2023-04-13,Hotel 3,102,No Reembolsable,Suite
Media Pension,2023-04-13,Hotel 3,94,No Reembolsable,Suite
Desayuno,2023-04-13,Hotel 3,139,Reembolsable,Triple
Todo Incluido,2023-04-13,Hotel 3,141,No Reembolsable,Individual
Media Pension,2023-04-13,Hotel 3,92,No Reembolsable,Individual
Solo Alojamiento,2023-04-14,Hotel 3,148,Reembolsable,Individual
Media Pension,2023-04-14,Hotel 3,185,No Reembolsable,Junior Suite
Pension Completa,2023-04-14,Hotel 3,75,No Reembolsable,Junior Suite
Media Pension,2023-04-14,Hotel 3,79,Reembolsable,Doble
Pension Completa,2023-04-14,Hotel 3,128,No Reembolsable,Suite
Media Pension,2023-04-14,Hotel 3,127,No Reembolsable,Suite
Media Pension,2023-04-14,Hotel 3,182,Reembolsable,Individual
Desayuno,2023-04-14,Hotel 3,185,No Reembolsable,Doble
Media Pension,2023-04-14,Hotel 3,163,Reembolsable,Suite
Pension Completa,2023-04-15,Hotel 3,104,Reembolsable,Doble
Pension Completa,2023-04-15,Hotel 3,99,Reembolsable,Junior Suite
Solo Alojamiento,2023-04-15,Hotel 3,90,Reembolsable,Suite
Desayuno,2023-04-15,Hotel 3,126,No Reembolsable,Individual
Todo Incluido,2023-04-15,Hotel 3,97,Reembolsable,Doble
Desayuno,2023-04-15,Hotel 3,95,Reembolsable,Triple
Media Pension,2023-04-15,Hotel 3,158,No Reembolsable,Suite
Pension Completa,2023-04-15,Hotel 3,150,Reembolsable,Doble
Pension Completa,2023-04-15,Hotel 3,88,No Reembolsable,Suite
Pension Completa,2023-04-16,Hotel 3,155,No Reembolsable,Triple
Pension Completa,2023-04-16,Hotel 3,109,No Reembolsable,Individual
Media Pension,2023-04-16,Hotel 3,80,Reembolsable,Junior Suite
Todo Incluido,2023-04-16,Hotel 3,163,Reembolsable,Doble
Desayuno,2023-04-16,Hotel 3,113,No Reembolsable,Junior Suite
Todo Incluido,2023-04-16,Hotel 3,145,No Reembolsable,Doble
Pension Completa,2023-04-16,Hotel 3,120,No Reembolsable,Triple
Todo Incluido,2023-04-16,Hotel 3,143,Reembolsable,Triple
Desayuno,2023-04-16,Hotel 3,163,No Reembolsable,Individual
Solo Alojamiento,2023-04-17,Hotel 3,107,Reembolsable,Individual
Desayuno,2023-04-17,Hotel 3,122,No Reembolsable,Suite
Solo Alojamiento,2023-04-17,Hotel 3,99,Reembolsable,Junior Suite
Desayuno,2023-04-17,Hotel 3,191,No Reembolsable,Triple
Media Pension,2023-04-17,Hotel 3,127,Reembolsable,Individual
Media Pension,2023-04-17,Hotel 3,96,Reembolsable,Suite
Solo Alojamiento,2023-04-17,Hotel 3,102,No Reembolsable,Doble
Media Pension,2023-04-17,Hotel 3,97,Reembolsable,Triple
Todo Incluido,2023-04-17,Hotel 3,126,Reembolsable,Doble
Pension Completa,2023-04-18,Hotel 3,152,No Reembolsable,Suite
Solo Alojamiento,2023-04-18,Hotel 3,198,No Reembolsable,Triple
Pension Completa,2023-04-18,Hotel 3,190,No Reembolsable,Doble
Media Pension,2023-04-18,Hotel 3,175,Reembolsable,Individual
Todo Incluido,2023-04-18,Hotel 3,181,No Reembolsable,Junior Suite
Todo Incluido,2023-04-18,Hotel 3,189,Reembolsable,Junior Suite
Pension Completa,2023-04-18,Hotel 3,98,No Reembolsable,Suite
Todo Incluido,2023-04-18,Hotel 3,100,No Reembolsable,Individual
Pension Completa,2023-04-18,Hotel 3,168,Reembolsable,Junior Suite
Media Pension,2023-04-19,Hotel 3,148,No Reembolsable,Doble
Todo Incluido,2023-04-19,Hotel 3,126,Reembolsable,Suite
Todo Incluido,2023-04-19,Hotel 3,99,Reembolsable,Triple
Pension Completa,2023-04-19,Hotel 3,156,Reembolsable,Doble
Solo Alojamiento,2023-04-19,Hotel 3,85,No Reembolsable,Triple
Media Pension,2023-04-19,Hotel 3,123,Reembolsable,Triple
Solo Alojamiento,2023-04-19,Hotel 3,164,No Reembolsable,Individual
Media Pension,2023-04-19,Hotel 3,132,No Reembolsable,Suite
Solo Alojamiento,2023-04-19,Hotel 3,179,No Reembolsable,Suite
Desayuno,2023-04-20,Hotel 3,158,Reembolsable,Triple
Desayuno,2023-04-20,Hotel 3,116,Reembolsable,Suite
Pension Completa,2023-04-20,Hotel 3,136,No Reembolsable,Triple
Media Pension,2023-04-20,Hotel 3,83,Reembolsable,Doble
Media Pension,2023-04-20,Hotel 3,171,No Reembolsable,Suite
Desayuno,2023-04-20,Hotel 3,113,Reembolsable,Triple
Solo Alojamiento,2023-04-20,Hotel 3,188,Reembolsable,Triple
Media Pension,2023-04-20,Hotel 3,179,No Reembolsable,Doble
Pension Completa,2023-04-20,Hotel 3,191,No Reembolsable,Junior Suite
Desayuno,2023-04-21,Hotel 3,184,Reembolsable,Triple
Todo Incluido,2023-04-21,Hotel 3,98,No Reembolsable,Individual
Todo Incluido,2023-04-21,Hotel 3,102,Reembolsable,Doble
Desayuno,2023-04-21,Hotel 3,95,No Reembolsable,Junior Suite
Pension Completa,2023-04-21,Hotel 3,157,Reembolsable,Junior Suite
Desayuno,2023-04-21,Hotel 3,102,No Reembolsable,Individual
Desayuno,2023-04-21,Hotel 3,137,No Reembolsable,Suite
Pension Completa,2023-04-21,Hotel 3,75,No Reembolsable,Doble
Desayuno,2023-04-21,Hotel 3,137,Reembolsable,Junior Suite
Solo Alojamiento,2023-04-22,Hotel 3,87,Reembolsable,Junior Suite
Pension Completa,2023-04-22,Hotel 3,188,No Reembolsable,Suite
Media Pension,2023-04-22,Hotel 3,82,Reembolsable,Individual
Pension Completa,2023-04-22,Hotel 3,80,Reembolsable,Triple
Pension Completa,2023-04-22,Hotel 3,175,No Reembolsable,Doble
Solo Alojamiento,2023-04-22,Hotel 3,180,Reembolsable,Suite
Desayuno,2023-04-22,Hotel 3,128,No Reembolsable,Doble
Media Pension,2023-04-22,Hotel 3,173,Reembolsable,Junior Suite
Media Pension,2023-04-22,Hotel 3,113,No Reembolsable,Triple
Todo Incluido,2023-04-23,Hotel 3,191,Reembolsable,Suite
Desayuno,2023-04-23,Hotel 3,176,Reembolsable,Suite
Todo Incluido,2023-04-23,Hotel 3,96,No Reembolsable,Junior Suite
Todo Incluido,2023-04-23,Hotel 3,70,Reembolsable,Individual
Todo Incluido,2023-04-23,Hotel 3,93,No Reembolsable,Triple
Pension Completa,2023-04-23,Hotel 3,161,No Reembolsable,Triple
Todo Incluido,2023-04-23,Hotel 3,172,No Reembolsable,Individual
Solo Alojamiento,2023-04-23,Hotel 3,98,Reembolsable,Junior Suite
Desayuno,2023-04-23,Hotel 3,161,Reembolsable,Individual
Desayuno,2023-04-24,Hotel 3,155,Reembolsable,Junior Suite
Desayuno,2023-04-24,Hotel 3,150,Reembolsable,Triple
Todo Incluido,2023-04-24,Hotel 3,143,Reembolsable,Doble
Solo Alojamiento,2023-04-24,Hotel 3,104,Reembolsable,Suite
Todo Incluido,2023-04-24,Hotel 3,156,No Reembolsable,Suite
Solo Alojamiento,2023-04-24,Hotel 3,145,Reembolsable,Suite
Desayuno,2023-04-24,Hotel 3,165,No Reembolsable,Junior Suite
Desayuno,2023-04-24,Hotel 3,86,No Reembolsable,Suite
Media Pension,2023-04-24,Hotel 3,174,Reembolsable,Junior Suite
Desayuno,2023-04-25,Hotel 3,155,No Reembolsable,Doble
Pension Completa,2023-04-25,Hotel 3,137,No Reembolsable,Doble
Todo Incluido,2023-04-25,Hotel 3,186,No Reembolsable,Junior Suite
Pension Completa,2023-04-25,Hotel 3,111,Reembolsable,Suite
Todo Incluido,2023-04-25,Hotel 3,169,Reembolsable,Individual
Todo Incluido,2023-04-25,Hotel 3,115,Reembolsable,Individual
Desayuno,2023-04-25,Hotel 3,77,No Reembolsable,Suite
Media Pension,2023-04-25,Hotel 3,78,Reembolsable,Suite
Media Pension,2023-04-25,Hotel 3,90,Reembolsable,Individual
Pension Completa,2023-04-26,Hotel 3,94,Reembolsable,Suite
Solo Alojamiento,2023-04-26,Hotel 3,161,Reembolsable,Junior Suite
Pension Completa,2023-04-26,Hotel 3,98,No Reembolsable,Suite
Media Pension,2023-04-26,Hotel 3,151,Reembolsable,Doble
Desayuno,2023-04-26,Hotel 3,151,Reembolsable,Individual
Desayuno,2023-04-26,Hotel 3,81,No Reembolsable,Triple
Media Pension,2023-04-26,Hotel 3,108,Reembolsable,Triple
Media Pension,2023-04-26,Hotel 3,159,No Reembolsable,Triple
Solo Alojamiento,2023-04-26,Hotel 3,109,Reembolsable,Doble
Desayuno,2023-04-27,Hotel 3,176,Reembolsable,Individual
Solo Alojamiento,2023-04-27,Hotel 3,141,No Reembolsable,Doble
Pension Completa,2023-04-27,Hotel 3,100,Reembolsable,Individual
Pension Completa,2023-04-27,Hotel 3,130,Reembolsable,Individual
Media Pension,2023-04-27,Hotel 3,166,Reembolsable,Triple
Media Pension,2023-04-27,Hotel 3,119,No Reembolsable,Individual
Pension Completa,2023-04-27,Hotel 3,174,Reembolsable,Triple
Todo Incluido,2023-04-27,Hotel 3,143,Reembolsable,Doble
Desayuno,2023-04-27,Hotel 3,116,No Reembolsable,Suite
Pension Completa,2023-04-28,Hotel 3,119,Reembolsable,Suite
Todo Incluido,2023-04-28,Hotel 3,104,Reembolsable,Junior Suite
Todo Incluido,2023-04-28,Hotel 3,189,No Reembolsable,Junior Suite
Media Pension,2023-04-28,Hotel 3,126,No Reembolsable,Individual
Todo Incluido,2023-04-28,Hotel 3,123,Reembolsable,Triple
Media Pension,2023-04-28,Hotel 3,131,Reembolsable,Individual
Solo Alojamiento,2023-04-28,Hotel 3,72,Reembolsable,Triple
Todo Incluido,2023-04-28,Hotel 3,173,No Reembolsable,Suite
Desayuno,2023-04-28,Hotel 3,168,No Reembolsable,Suite
Pension Completa,2023-04-29,Hotel 3,141,No Reembolsable,Junior Suite
Solo Alojamiento,2023-04-29,Hotel 3,182,Reembolsable,Doble
Solo Alojamiento,2023-04-29,Hotel 3,181,No Reembolsable,Individual
Pension Completa,2023-04-29,Hotel 3,97,No Reembolsable,Individual
Pension Completa,2023-04-29,Hotel 3,75,No Reembolsable,Doble
Media Pension,2023-04-29,Hotel 3,197,No Reembolsable,Individual
Pension Completa,2023-04-29,Hotel 3,180,Reembolsable,Suite
Pension Completa,2023-04-29,Hotel 3,128,No Reembolsable,Doble
Media Pension,2023-04-29,Hotel 3,170,No Reembolsable,Junior Suite
Desayuno,2023-04-30,Hotel 3,196,No Reembolsable,Suite
Todo Incluido,2023-04-30,Hotel 3,177,Reembolsable,Individual
Solo Alojamiento,2023-04-30,Hotel 3,141,Reembolsable,Suite
Desayuno,2023-04-30,Hotel 3,127,No Reembolsable,Doble
Solo Alojamiento,2023-04-30,Hotel 3,174,No Reembolsable,Individual
Media Pension,2023-04-30,Hotel 3,144,No Reembolsable,Suite
Todo Incluido,2023-04-30,Hotel 3,156,Reembolsable,Suite
Desayuno,2023-04-30,Hotel 3,108,No Reembolsable,Doble
Solo Alojamiento,2023-04-30,Hotel 3,170,No Reembolsable,Doble
Desayuno,2023-05-01,Hotel 3,83,Reembolsable,Individual
Todo Incluido,2023-05-01,Hotel 3,150,No Reembolsable,Junior Suite
Todo Incluido,2023-05-01,Hotel 3,150,No Reembolsable,Triple
Pension Completa,2023-05-01,Hotel 3,112,No Reembolsable,Junior Suite
Todo Incluido,2023-05-01,Hotel 3,120,No Reembolsable,Suite
Media Pension,2023-05-01,Hotel 3,118,No Reembolsable,Suite
Solo Alojamiento,2023-05-01,Hotel 3,140,Reembolsable,Doble
Solo Alojamiento,2023-05-01,Hotel 3,75,No Reembolsable,Suite
Desayuno,2023-05-01,Hotel 3,127,Reembolsable,Suite
Pension Completa,2023-05-02,Hotel 3,77,No Reembolsable,Doble
Pension Completa,2023-05-02,Hotel 3,127,Reembolsable,Triple
Desayuno,2023-05-02,Hotel 3,125,No Reembolsable,Triple
Todo Incluido,2023-05-02,Hotel 3,105,No Reembolsable,Triple
Pension Completa,2023-05-02,Hotel 3,123,No Reembolsable,Individual
Desayuno,2023-05-02,Hotel 3,179,Reembolsable,Junior Suite
Pension Completa,2023-05-02,Hotel 3,90,No Reembolsable,Triple
Solo Alojamiento,2023-05-02,Hotel 3,152,No Reembolsable,Junior Suite
Pension Completa,2023-05-02,Hotel 3,119,Reembolsable,Triple
Desayuno,2023-05-03,Hotel 3,145,No Reembolsable,Doble
Pension Completa,2023-05-03,Hotel 3,150,Reembolsable,Individual
Pension Completa,2023-05-03,Hotel 3,183,Reembolsable,Triple
Media Pension,2023-05-03,Hotel 3,94,Reembolsable,Triple
Desayuno,2023-05-03,Hotel 3,104,Reembolsable,Individual
Desayuno,2023-05-03,Hotel 3,71,Reembolsable,Doble
Desayuno,2023-05-03,Hotel 3,122,No Reembolsable,Individual
Todo Incluido,2023-05-03,Hotel 3,108,No Reembolsable,Suite
Pension Completa,2023-05-03,Hotel 3,118,Reembolsable,Junior Suite
Pension Completa,2023-05-04,Hotel 3,153,No Reembolsable,Suite
Solo Alojamiento,2023-05-04,Hotel 3,133,Reembolsable,Individual
Todo Incluido,2023-05-04,Hotel 3,166,Reembolsable,Doble
Pension Completa,2023-05-04,Hotel 3,87,No Reembolsable,Individual
Media Pension,2023-05-04,Hotel 3,91,No Reembolsable,Suite
Pension Completa,2023-05-04,Hotel 3,76,No Reembolsable,Junior Suite
Todo Incluido,2023-05-04,Hotel 3,153,No Reembolsable,Suite
Desayuno,2023-05-04,Hotel 3,124,Reembolsable,Individual
Pension Completa,2023-05-04,Hotel 3,142,Reembolsable,Suite
Solo Alojamiento,2023-05-05,Hotel 3,147,Reembolsable,Suite
Pension Completa,2023-05-05,Hotel 3,143,No Reembolsable,Triple
Desayuno,2023-05-05,Hotel 3,83,Reembolsable,Doble
Solo Alojamiento,2023-05-05,Hotel 3,188,Reembolsable,Doble
Pension Completa,2023-05-05,Hotel 3,122,Reembolsable,Junior Suite
Pension Completa,2023-05-05,Hotel 3,136,No Reembolsable,Doble
Pension Completa,2023-05-05,Hotel 3,114,Reembolsable,Suite
Solo Alojamiento,2023-05-05,Hotel 3,131,No Reembolsable,Individual
Todo Incluido,2023-05-05,Hotel 3,101,Reembolsable,Junior Suite
Solo Alojamiento,2023-05-06,Hotel 3,200,No Reembolsable,Suite
Desayuno,2023-05-06,Hotel 3,142,Reembolsable,Triple
Desayuno,2023-05-06,Hotel 3,160,Reembolsable,Junior Suite
Solo Alojamiento,2023-05-06,Hotel 3,178,No Reembolsable,Doble
Media Pension,2023-05-06,Hotel 3,172,Reembolsable,Triple
Desayuno,2023-05-06,Hotel 3,149,No Reembolsable,Suite
Todo Incluido,2023-05-06,Hotel 3,175,No Reembolsable,Suite
Desayuno,2023-05-06,Hotel 3,187,No Reembolsable,Triple
Desayuno,2023-05-06,Hotel 3,124,No Reembolsable,Junior Suite
Desayuno,2023-05-07,Hotel 3,107,Reembolsable,Doble
Media Pension,2023-05-07,Hotel 3,84,No Reembolsable,Junior Suite
Media Pension,2023-05-07,Hotel 3,129,No Reembolsable,Individual
Desayuno,2023-05-07,Hotel 3,152,No Reembolsable,Individual
Solo Alojamiento,2023-05-07,Hotel 3,162,Reembolsable,Suite
Todo Incluido,2023-05-07,Hotel 3,185,Reembolsable,Suite
Pension Completa,2023-05-07,Hotel 3,83,No Reembolsable,Junior Suite
Desayuno,2023-05-07,Hotel 3,165,No Reembolsable,Triple
Desayuno,2023-05-07,Hotel 3,167,No Reembolsable,Individual
Solo Alojamiento,2023-05-08,Hotel 3,144,Reembolsable,Individual
Media Pension,2023-05-08,Hotel 3,182,Reembolsable,Doble
Todo Incluido,2023-05-08,Hotel 3,191,Reembolsable,Junior Suite
Media Pension,2023-05-08,Hotel 3,199,No Reembolsable,Triple
Media Pension,2023-05-08,Hotel 3,133,No Reembolsable,Doble
